country,room_type,traveler_type,nr_nights,year,month,score,title_review_en,pos_review_en,neg_review_en
belgium,comfort double room,family,3,2025,1,10.0,exceptional,"room was spacious, clean and with good amenities",no review
united kingdom,comfort single room,solo traveller,2,2025,3,9.0,well placed hotel with great facilities,"in good location for exploring porto... approx 20 minute walk down to river .  clean , comfortable & good variety at breakfast  bonus having a restaurant on 17th floor ... i didn't eat there but had drinks ... good service & great views",can't think of any improvement
united kingdom,comfort king room,couple,2,2025,3,9.0,very clean with professional staff and very good facilities. extremely recommended.,staff is very friendly and extremely professional and always willing to help.,nothing
hungary,plus comfort suite,family,4,2025,2,9.0,"elegant, good hotel in the center","we really liked the hotel and the suit. from our balcony the view was very nice. the suit is spacious, very nice and well equipped: large tv, minibar, coffee maker with capsules. the bed is very comfortable and big, the beding is very pleasant soft. the bathroom is also spacious, with toiletries. the whole hotel is elegant, the rooftop bar is very nice. the stuff is kind and polite.","in the smaller room there is no socket, you can't charge your phone. and the wardrobe door was closed. the breakfast is not very rich compared to a 4 star hotel, but the pastries, cakes and fruit juice are very delicious."
canada,comfort family room,family,2,2025,2,8.0,good location and nice hotel with spacious units.,location and size of the unit. comfortable for a family of 4.,no review
united kingdom,comfort suite,family,3,2025,2,8.0,excellent hotel for city break,"lovely rooftop bar, really nice room, excellent breakfast",not the nicest looking building from the outside but only because i need to write something !
united states,comfort single room,solo traveller,2,2025,2,10.0,great hotel and stay. i would definitely return.,great location close to the center and a lovely hotel with well appointed rooms and a fabulous breakfast.,"parking is across the street in a public garage. it's convenient, but not technically on site."
ireland,comfort double room,group,3,2025,2,10.0,great hotel - location was good,the staff were amazing!  the roof top bar was fabulous. beds were comfortable,i couldn't find a fault
united kingdom,comfort single room,group,3,2025,2,10.0,exceptional,"great location, comfortable room, food & wine excellent",no review
portugal,comfort king double room with romantic package,couple,1,2025,2,8.0,it was very good,"the room was nice, cosy and warm.",the sound proof could be a bit more efficient as we could listen the water running from the others rooms bathroom.
united kingdom,deluxe panoramic suite,couple,3,2025,2,10.0,exceptional,"great hotel,we loved our room with panoramic views, would highly recommend staying here",no review
portugal,plus comfort suite,family,2,2025,2,9.0,superb,"room, location, staff",breakfast
ireland,comfort double room,family,4,2025,2,10.0,exceptional,"location, rooms, cleanliness and the roof top bar. breakfast was really good.",no complaints!
australia,comfort king room,couple,3,2025,2,9.0,great value in a central and convenient location 5 mins from trindade station.,great location and a great view over porto from our room on level 16 and the bar on level 17. staff were really helpful and friendly. our room was suite-like with a comfortable seating area and big tv with good reception which we haven't found elsewhere in portugal.,it exceeded all our expectations so no disappointments at all.
france,comfort double room,couple,2,2025,1,9.0,i recommend !!!,the breakfast is very good. the rooms are nice. dinner on the rooftop is a must. we had an amazing dinner with view!!! the location of the hotel is excellent.,no review
saudi arabia,suite premium deluxe,couple,1,2025,1,8.0,very good,good hotel near to parking,nothing
united states,comfort family room plus,family,1,2024,10,10.0,exceptional,everything,no review
united states,comfort family room,family,1,2025,1,10.0,exceptional,best hotel in town,no review
united arab emirates,comfort king room,solo traveller,4,2024,12,8.0,excellent overall,"everything, staff were excellent, location was perfect ... great value for money ..  breakfast selection was good and very sufficient buffet",gym was tiny
turkey,comfort family room plus,family,1,2024,11,9.0,a perfect stay,"the room was spacious, clean and comfortable. watching the sunrise over porto from the balcony was an incredible experience. the staff was friendly and helpful. the hotel met our expectations and we would choose it for a longer stay.",no review
france,comfort king room,couple,4,2025,1,8.0,"excellent stay, but breakfast room too small! ;-)","beautiful hotel in a convenient location: everything is at a walking distance as a tourist in porto. the building look old on the outside but is very cosy inside, clean and well decorated. bed in room 1405 was excellent, and we appreciated the italian-style shower and the general mood that emanates from it. there is a bar/restaurant at the top with a nice view, and the waiters gladly opened the second terrace on the roof because we were a group of 9 coming to have a drink watching the sunset! every member of the hotel was very kind and obliging. it undeniably deserves its 4 stars.","the breakfast room was too crowded, and the ""heated"" terrace was too cold for people to be willing to go there (moreover its doors were constantly opened by people coming in and out, creating unpleasant drafts during these cool december mornings). the breakfast content itself is nice though, it's too bad that the tranquility can be disturbed by traffic of people on a surface too small to be fully enjoyable when the hotel is full."
australia,comfort double room,couple,2,2024,11,8.0,delightful and helpful staff. our booking was very last minute and we were very glad to stay here.,breakfast on the terrace was delightful,replenish breakfast for later arrivals
united kingdom,comfort king room,family,7,2024,12,10.0,exceptional,"the room was great, lots of space , with a balcony, so comfy . location wise was so close to the centre",no review
united kingdom,comfort double room,family,1,2024,12,8.0,very good,"location. room was spacious. rooftop bar. breakfast was fine, average.",the bed was very hard and uncomfortable. bathroom was very dreary and small and needs updating. room was large but the decor was somewhat depressing looking.
ireland,comfort king double room with romantic package,couple,1,2024,12,9.0,superb,excellent,no review
portugal,comfort king room,solo traveller,1,2024,10,10.0,exceptional,location and brakfast,no parking lot
belgium,comfort double room,solo traveller,3,2024,12,10.0,excellent accomodation for a city trip to porto,"attentive staff throughout my stay, excellent breakfast with local products, spaceous, clean and quiet room and a good cocktail bar on the 17th floor made this a wonderful stay.",pretty easy - nothing.
malta,comfort single room,family,3,2024,12,8.0,very good,good breakfast and prefect location.,no review
united kingdom,comfort king room,couple,3,2024,11,10.0,great experience!,overall everything was amazing but the staff were 5 star!,no review
united kingdom,comfort king room,couple,3,2024,12,8.0,great and very comfortable hotel close to the centre.,we had a large perfect room on the 12th fl with a 6ft wide very comfortable bed. the room had a balcony overlooking the city which even at the end of november was worth it. we chose the hotel because it was right next door to a large public car park (ps65 for 3 nights) and we were driving around portugal. it is about a 15-minute walk to the centre of the city sights and only 5 minutes from the market. if booking i suggest you request a room on the upper floors overlooking the city. it has several fast lifts. all the staff were very nice and extreemly helpful. we did an uber from the hotel to the far side of the river to get to the port houses as that would have been a 30 - 40 minute walk.,"the breakfast was ok nothing particularly special about it and the bacon looked processed. however, the location of the main table with the food on it was a squeeze to get round and particular difficult when it was crowded from 8.15 - 9.15 with people making toast in one place, others getting ham etc immediately behind with then no room for anyone to pass through."
germany,comfort double room,couple,3,2024,12,10.0,wonderful stay,"this has been probably the best stay we have ever had. the staff were very polite and welcoming. they took a step beyond to welcome our needs anytime. we had a free room upgrade which was beyond our expectations. the room was the cleanest i have ever seen anywhere, the smell of cleanliness was apparent at every part. all the amenities were good and extra needs were provided. the breakfast was very satisfying with lots of choices and frequent refills. the price/performance ratio of this place was the best. wonderful at all aspects.",no review
netherlands,comfort double room,couple,2,2024,11,10.0,exceptional,everything was perfect.,nothing
france,comfort single room,solo traveller,3,2024,11,10.0,exceptional,staff very helpful,no review
australia,comfort double room,couple,1,2024,11,10.0,quality operation,the location was great and the facilities were excellent,nothing. booking.com recommendations were great all round
kuwait,plus comfort suite,couple,4,2024,11,10.0,definitely i am coming back to this hotel,everything,nothing
united states,comfort double room,couple,2,2024,11,9.0,superb,"the staff was very helpful, great location, amazing restaurant in the hotel, very clean & great breakfast.",only complaint was that the bed was way too hard & uncomfortable.
switzerland,comfort single room,solo traveller,2,2024,11,10.0,exceptional,all was great. highly recommend,nothing
australia,comfort double room,couple,4,2024,11,9.0,very comfortable,great central location,
united states,comfort double room,solo traveller,4,2024,11,9.0,cool spot in porto,"the breakfast,the lobby and spacious rooms, the rooftop bar and restaurant had amazing views.","the staff was not as friendly as they could be, especially front desk."
united states,comfort suite,group,2,2024,11,10.0,this is an excellent hotel for accommodations. the 17 cocktail lounge should be avoided.,"exceptional breakfast offerings. the quantity and quality of the food most outstanding with offering for every pallet. five fruit juices, five different breads including crissants. the fit and finish of our 6th floor suite was top standard. quite, unmarried and well ventilated.","the 17 cocktail lounge staff, with the exception of the restaurant hostess, was slow and inattentive. we wee a party of 3 consumed 7 beverages & 2 sandwiches in slightly more than 2 hours. one drink was not what we ordered. an adjacent table returned two incorrect beverages. the head bartender was beligerent and did not appear to care when spoken to."
sweden,comfort single room,solo traveller,1,2024,11,8.0,very good,great service/staff at reception.,could improve the bathroom floor cleaning.
lithuania,comfort king double room with romantic package,couple,1,2024,11,10.0,we will be back,"we took a romantic package deal which was really worth it! we got an upgrade to suite in 15th floor with excelent views and balcony. welcome wine, breakfast in room, high quality towels and bathrobes, it was amazing!","please improve your breakfast coffee, they delivered to our room very blury coffee. as we had coffee capsules in the room, it was not a big deal."
spain,comfort king room,group,2,2024,11,8.0,very good,very well located from/to the airport and to the city centre. very comfortable and quiet,no review
costa rica,comfort king room,couple,4,2024,9,9.0,superb,the room was comfortable with nice view and quiet breakfast was very complete and well presented location is a little aside from main attractions but a walking distance the view of the roof top restaurant is amazing specially at nighttime,no review
united kingdom,plus comfort suite,couple,3,2024,11,8.0,quiet and convenient,"great views from our 11th floor room. five minutes to bolhao market and trindade station. very quiet location but only 10-15 minutes from great restaurants. very comprehensive breakfast with fresh juice,. super friendly staff. nice to have a separate seating area and a small balcony.",gym is basic.
united kingdom,comfort family room,family,3,2024,11,9.0,great hotel in good location in porto,"great stay at hotel dom henrique - downtown in porto, convenient location and great hotel facilities.",breakfast could have been a bit better
united kingdom,comfort single room,solo traveller,3,2024,10,9.0,star gazing view,the view on the 10th floor. the bar and restaurant on 17th floor. great food!,"breakfast offering i thought could improve. more variety of yogurts, fruit. warm pancakes and waffles. still decent."
united kingdom,comfort single room,solo traveller,3,2024,10,8.0,a room with a view,"friendly and attentive staff. the bar and restaurant at the top have great views, and the food is good too.  near trindade station which is really practical for the metro to the airport or campanha station.",it is not the newest building and twice there was a funny smell in the room when i arrived for some reason (maybe plumbing or ventilation?). all fine after 5 minutes opening the window.
australia,comfort twin room,couple,3,2024,10,9.0,overall we were happy with the choice especially the service.,the hotel was dated although very comfortable.,dark rooms and some noise from the street.
united kingdom,plus comfort suite,couple,1,2024,10,8.0,"very good, will be happy to return.","great location, wonderful views, good food in retaurant and breakfast buffet.","very grumpy, negative lady on reception all the other staff were lovely. bathroom in first room has not been cleaned."
united kingdom,comfort double room,group,3,2024,9,9.0,superb,"a good general breakfast but lacking seating space. all staff friendly whether front desk, breakfast or roof terrace bar. we dined in the top floor roof restaurant on our last evening and were not disappointed.",would like 'feather' pillows!
united states,plus comfort suite,family,1,2024,10,9.0,we had a very nice stay and it is worth the money,"very comfortable, quiet and convenient location.",no review
georgia,comfort double room,solo traveller,3,2024,10,8.0,"in general, everything was perfect.",i liked the bar. room was clean and comfortable. staff behaved very professionally.,"breakfast area needs a little bit renovation to make it more cozy, comfortable and mood maker."
switzerland,comfort suite,family,3,2024,10,8.0,living on it's past 4 star legacy,"the hotel room was spacious and had everything you need. fairly well decorated, the reception staff were friendly. the room was clean. the rooftop bar was lovely and had an excellent view.","the restaurant and bar staff were rude. dinner took forever.vwry average meal for the price we paid. don't bother eating there .so expensive .rather eat at the market restaurants down the road.. the hotel needs a complete makeover on the outside and is in a very non attractive road. breakfast is very average with terrible bacon and watery eggs, don't bother , rather eat elsewhere.."
ireland,comfort double room,group,4,2024,10,10.0,the breakfast was superb the facilities of the beautiful restaurant was amazing,the bar & restaurant were fantastic. the food in the restaurant was superb & the views were amazing,nothing
