country,room_type,traveler_type,nr_nights,year,month,score,full_review,emotion,emotion_score,year_month
Germany,Single Room,Solo traveller,3,2024,11,10.0,The best Hotel in this Area.... The best and clean Hotelnin this Area. No issues mentioned.,joy,0.604034960269928,2024-11
Portugal,Double Room,Couple,1,2024,11,6.0,"Good Breakfast location okay, bath tub not allowed to fill water:-( Breakfast was good, hotel location is okay, the bath tub they don't let you fill in water and said the stopper is not available so its just a shower and not a bath tub Breakfast was good, hotel location is okay, the bath tub they don't let you fill in water and said the stopper is not available so its just a shower and not a bath tub",sadness,0.6784251928329468,2024-11
Ireland,Twin Room,Solo traveller,3,2024,9,7.0,"Hotel was an ideal base from which to enjoy and discover Porto and had a great City break. The breakfast buffet was self-service and ideal. Good selection and great value. Staff very helpful and asssited with any queries and gave vakuable tips for travel and sightseeing. Very friendly atmosphere and genuine assistance provided. 
The friendly reception made each day special. No issues mentioned.",joy,0.9236425161361694,2024-09
Israel,Single Room,Solo traveller,1,2024,9,7.0,I would come back. Staff was very friendly and welcoming. Small cups for coffee in brekfast,joy,0.7058728933334351,2024-09
Argentina,Twin Room,Group,4,2024,8,6.0,"Good for the price I paid The location was not bad, but it was not near the center as it said in the description, but the metro station was really close so that helped That it didn’t said in the description that it didn’t have elevator",neutral,0.7463126182556152,2024-08
Spain,Twin Room,Solo traveller,3,2024,8,7.0,"Everything ok In general terms, all good. The staff was very friendly and helpful. If I had to complain about something, it would only be the limited variety and options for breakfast, but given the price, one can't expect much more.",neutral,0.6640595197677612,2024-08
Portugal,Double Room,Couple,1,2024,6,5.0,"Passable Front office guy was nice and did his best to make it a good stay. Overall it was an ok last minute stay but wouldn't stay again. Really nice water pressure though. Breakfast was ok. Arrived at night, first room they gave me had no balcony and it had a crib. Since I booked with balcony, talked with staff and they gave me a new room but it was freezing since AC was on at 16°C, had an extra bed in the room so not much space left. Had to ask to turn off the AC and the remotes stay at the reception so if I wanted to turn it on later I would have to have called them up again. AC needs a cleaning, shower curtains too.",joy,0.3584067225456238,2024-06
Czech Republic,Double Room,Family,1,2024,5,5.0,"Passable Nice and helpful staff, good breakfast, the sheets smelled fresh and pleasant. The place needs some renovations. The bathtub had tiles missing, the shower was leaking and squirting. Washed in towels.",disgust,0.7185638546943665,2024-05
Jordan,Single Room,Solo traveller,10,2023,11,7.0,"I would reserve for the 3rd time The staff are very helpful and professional.
Property is good. Comfortable No Elevator",joy,0.5146387219429016,2023-11
Brazil,Double Room,Couple,1,2023,11,6.0,Pleasant No highlights mentioned. Furnitures are not good,sadness,0.9517119526863098,2023-11
United Arab Emirates,Single Room,Solo traveller,3,2023,9,5.0,Passable Good location and decent facilities No issues mentioned.,neutral,0.49156516790390015,2023-09
Portugal,Single Room,Solo traveller,1,2023,9,7.0,"Clean safe but shower head was broken, right beside a hospital so there may be some noise Clean room easy check in The shower head was brokeb",surprise,0.4204760491847992,2023-09
Bosnia and Herzegovina,Double Room,Couple,3,2023,9,5.0,"With some renovation and care would be great - not recommended right now Staff was nice and friendly, close to metro station and had a simple but nice breakfast Hotel needs reservation or better care, the room and bathroom are old and smell damp, it wasn't pleasnt. We couldn't use the AC, because they told us to call someone from staff to turn it on or off for us, which we thought was a hasle and didn't want to bother anyone. Even tho the location is good because it's close to the metro, it is also close to the hospital so if u are woken easily you won't like it, the sirens keep going on and it's very noisy. I wasn't bothered by it but my partner kept waking up..",neutral,0.3343074321746826,2023-09
Latvia,Double Room,Family,1,2023,6,7.0,"Good I mean ,you get what you pay for ,so all was ok.
Your stay will be heavily influenced by how loud or quite are other guests in the motel.

For us we where lucky to have a quite night.

The air condition unit works well ,though for some reason it is stuck on 17 degrees ,so eventually you will be freezing ,if you turn it on for the night. The TV was broken,but we stayed only for one night ,so no big deal.",neutral,0.4062461256980896,2023-06
Spain,Single Room,Solo traveller,2,2023,6,6.0,"Ok, but could be better... It's not too far from the interesting bits, and the staff were helpful... No decaf coffee, there are some,like myself who need to take certain meds, that don't allow me to have caffeine, so it meant my meager breakfast had to be washed down with water. If they only bought some decaf sachets, or a jar, it would do... Parking is on the street, a busy street with traffic, if you can find a space, you'll be freaking out about your car being tapped by a passing bus, or if your like me, an amputee, walking several blocks after the stress of looking for a space, it's not cool...",neutral,0.6697017550468445,2023-06
Netherlands,Twin Room,Group,1,2023,6,7.0,"Good The price and breakfast were good for the quality you expect. And the personal were very friendly. But, the door to the bathroom could not close. And a hotel worker went inside the room, while we did not check out yet.",neutral,0.42989322543144226,2023-06
Spain,Twin Room,Couple,2,2023,5,6.0,"Pleasant The problem with our was solved with a refund, no hesitation and understanding our concerns. Noisy ventilation system in our room. That made us to look for another hotel, 11pm.
But this was handled professionally by the employee present that moment.",joy,0.5229597687721252,2023-05
Spain,Double Room,Family,4,2023,4,7.0,"Good The breakfast and the treatment of the staff was the best, also the cleaning. The bathroom, more specificaly the washing hands leaks water when you close.",disgust,0.6927260756492615,2023-04
United Kingdom,Single Room,Solo traveller,1,2023,3,7.0,Good Staff were really nice and helpful. No issues mentioned.,joy,0.6137763857841492,2023-03
Portugal,Single Room,Solo traveller,1,2022,11,5.0,Passable To sleep Rude reception staff,anger,0.6663845181465149,2022-11
Poland,Double Room,Family,1,2022,9,7.0,Good Price You can hear everything what ppl says in next room,neutral,0.5750564932823181,2022-09
Brazil,Double Room,Couple,13,2022,9,6.0,"Ok Location, Staff, cost benefit. The food and thick walls.",neutral,0.7575068473815918,2022-09
United Kingdom,Single Room,Solo traveller,1,2022,8,7.0,good location. value for money. friendly staff No highlights mentioned. No issues mentioned.,joy,0.6211279630661011,2022-08
Portugal,Double Room,Solo traveller,1,2022,7,7.0,Good Reasonable location not far from Metro. Good size room with AC Adequate breakfast Nice polite staff who spoke English. Very basic. Tired room. Bed not very comfortable. TV reception awful. Tiles off wall in bathroom.,disgust,0.6193366646766663,2022-07
United Kingdom,Double Room,Couple,2,2022,7,5.0,"basic and well located the location of the property was close to metro and bus stops the room was not very clean, there were hair strands around.",disgust,0.932597815990448,2022-07
United Kingdom,Twin Room,Family,5,2022,6,5.0,A fair hotel quite cheap so can't expect too much. Good location and friendly staff. The tv not clear and no good channels hardly any english speaking.,neutral,0.4448419511318207,2022-06
United Kingdom,Single Room,Solo traveller,5,2022,5,5.0,Passable The staff were very friendly and helpful. The bed wasn't comfortable. The walls are too thin: I could hear everything in the hallway and in all adjoining rooms meaning I slept very badly most nights.,neutral,0.28840431571006775,2022-05
Portugal,Twin Room,Group,3,2024,10,9.0,"Superb Proximity of several facilities, shopping, hospital, bus and underground station. No issues mentioned.",neutral,0.7605361342430115,2024-10
Israel,Single Room,Solo traveller,1,2024,10,10.0,"Would come again anytime. Great value for money Great people, great hotel Coffee cups in breakfast are too small",joy,0.7455724477767944,2024-10
Canada,Double Room,Solo traveller,2,2024,9,9.0,Very relaxing Convenient to local shopping and the airport No issues mentioned.,joy,0.5187776684761047,2024-09
