country,room_type,traveler_type,nr_nights,date,year,month,score,title_review_en,pos_review_en,neg_review_en
Germany,Single Room,Solo traveller,3,November 2024,2024,November,10.0,The best Hotel in this Area....,The best and clean Hotelnin this Area.,No review
Portugal,Double Room,Couple,1,November 2024,2024,November,6.0,"Good Breakfast location okay, bath tub not allowed to fill water:-(","Breakfast was good, hotel location is okay, the bath tub they don't let you fill in water and said the stopper is not available so its just a shower and not a bath tub","Breakfast was good, hotel location is okay, the bath tub they don't let you fill in water and said the stopper is not available so its just a shower and not a bath tub"
Ireland,Twin Room,Solo traveller,3,September 2024,2024,September,7.0,Hotel was an ideal base from which to enjoy and discover Porto and had a great City break.,The breakfast buffet was self-service and ideal. Good selection and great value. Staff very helpful and asssited with any queries and gave vakuable tips for travel and sightseeing. Very friendly atmosphere and genuine assistance provided.  The friendly reception made each day special.,No review
Israel,Single Room,Solo traveller,1,September 2024,2024,September,7.0,I would come back.,Staff was very friendly and welcoming.,Small cups for coffee in brekfast
Argentina,Twin Room,Group,4,August 2024,2024,August,6.0,Good for the price I paid,"The location was not bad, but it was not near the center as it said in the description, but the metro station was really close so that helped",That it didn't said in the description that it didn't have elevator
Spain,Twin Room,Solo traveller,3,August 2024,2024,August,7.0,Everything ok,"In general terms, all good. The staff was very friendly and helpful.","If I had to complain about something, it would only be the limited variety and options for breakfast, but given the price, one can't expect much more."
Portugal,Double Room,Couple,1,June 2024,2024,June,5.0,Passable,Front office guy was nice and did his best to make it a good stay. Overall it was an ok last minute stay but wouldn't stay again. Really nice water pressure though. Breakfast was ok.,"Arrived at night, first room they gave me had no balcony and it had a crib. Since I booked with balcony, talked with staff and they gave me a new room but it was freezing since AC was on at 16degC, had an extra bed in the room so not much space left. Had to ask to turn off the AC and the remotes stay at the reception so if I wanted to turn it on later I would have to have called them up again. AC needs a cleaning, shower curtains too."
Czech Republic,Double Room,Family,1,May 2024,2024,May,5.0,Passable,"Nice and helpful staff, good breakfast, the sheets smelled fresh and pleasant.","The place needs some renovations. The bathtub had tiles missing, the shower was leaking and squirting. Washed in towels."
Jordan,Single Room,Solo traveller,10,November 2023,2023,November,7.0,I would reserve for the 3rd time,The staff are very helpful and professional. Property is good. Comfortable,No Elevator
Brazil,Double Room,Couple,1,November 2023,2023,November,6.0,Pleasant,No review,Furnitures are not good
United Arab Emirates,Single Room,Solo traveller,3,September 2023,2023,September,5.0,Passable,Good location and decent facilities,No review
Portugal,Single Room,Solo traveller,1,September 2023,2023,September,7.0,"Clean safe but shower head was broken, right beside a hospital so there may be some noise",Clean room easy check in,The shower head was brokeb
Bosnia and Herzegovina,Double Room,Couple,3,September 2023,2023,September,5.0,With some renovation and care would be great - not recommended right now,"Staff was nice and friendly, close to metro station and had a simple but nice breakfast","Hotel needs reservation or better care, the room and bathroom are old and smell damp, it wasn't pleasnt. We couldn't use the AC, because they told us to call someone from staff to turn it on or off for us, which we thought was a hasle and didn't want to bother anyone. Even tho the location is good because it's close to the metro, it is also close to the hospital so if u are woken easily you won't like it, the sirens keep going on and it's very noisy. I wasn't bothered by it but my partner kept waking up.."
Latvia,Double Room,Family,1,June 2023,2023,June,7.0,Good,"I mean ,you get what you pay for ,so all was ok. Your stay will be heavily influenced by how loud or quite are other guests in the motel.  For us we where lucky to have a quite night.  The air condition unit works well ,though for some reason it is stuck on 17 degrees ,so eventually you will be freezing ,if you turn it on for the night.","The TV was broken,but we stayed only for one night ,so no big deal."
Spain,Single Room,Solo traveller,2,June 2023,2023,June,6.0,"Ok, but could be better...","It's not too far from the interesting bits, and the staff were helpful...","No decaf coffee, there are some,like myself who need to take certain meds, that don't allow me to have caffeine, so it meant my meager breakfast had to be washed down with water. If they only bought some decaf sachets, or a jar, it would do... Parking is on the street, a busy street with traffic, if you can find a space, you'll be freaking out about your car being tapped by a passing bus, or if your like me, an amputee, walking several blocks after the stress of looking for a space, it's not cool..."
Netherlands,Twin Room,Group,1,June 2023,2023,June,7.0,Good,The price and breakfast were good for the quality you expect. And the personal were very friendly.,"But, the door to the bathroom could not close. And a hotel worker went inside the room, while we did not check out yet."
Spain,Twin Room,Couple,2,May 2023,2023,May,6.0,Pleasant,"The problem with our was solved with a refund, no hesitation and understanding our concerns.","Noisy ventilation system in our room. That made us to look for another hotel, 11pm. But this was handled professionally by the employee present that moment."
Spain,Double Room,Family,4,April 2023,2023,April,7.0,Good,"The breakfast and the treatment of the staff was the best, also the cleaning.","The bathroom, more specificaly the washing hands leaks water when you close."
United Kingdom,Single Room,Solo traveller,1,March 2023,2023,March,7.0,Good,Staff were really nice and helpful.,No review
Portugal,Single Room,Solo traveller,1,November 2022,2022,November,5.0,Passable,To sleep,Rude reception staff
Poland,Double Room,Family,1,September 2022,2022,September,7.0,Good,Price,You can hear everything what ppl says in next room
Brazil,Double Room,Couple,13,September 2022,2022,September,6.0,Ok,"Location, Staff, cost benefit.",The food and thick walls.
United Kingdom,Single Room,Solo traveller,1,August 2022,2022,August,7.0,good location. value for money. friendly staff,No review,No review
Portugal,Double Room,Solo traveller,1,July 2022,2022,July,7.0,Good,Reasonable location not far from Metro. Good size room with AC Adequate breakfast Nice polite staff who spoke English.,Very basic. Tired room. Bed not very comfortable. TV reception awful. Tiles off wall in bathroom.
United Kingdom,Double Room,Couple,2,July 2022,2022,July,5.0,basic and well located,the location of the property was close to metro and bus stops,"the room was not very clean, there were hair strands around."
United Kingdom,Twin Room,Family,5,June 2022,2022,June,5.0,A fair hotel quite cheap so can't expect too much.,Good location and friendly staff.,The tv not clear and no good channels hardly any english speaking.
United Kingdom,Single Room,Solo traveller,5,May 2022,2022,May,5.0,Passable,The staff were very friendly and helpful.,The bed wasn't comfortable. The walls are too thin: I could hear everything in the hallway and in all adjoining rooms meaning I slept very badly most nights.
Portugal,Twin Room,Group,3,October 2024,2024,October,9.0,Superb,"Proximity of several facilities, shopping, hospital, bus and underground station.",No review
Israel,Single Room,Solo traveller,1,October 2024,2024,October,10.0,Would come again anytime. Great value for money,"Great people, great hotel",Coffee cups in breakfast are too small
Canada,Double Room,Solo traveller,2,September 2024,2024,September,9.0,Very relaxing,Convenient to local shopping and the airport,No review
Lithuania,Single Room,Solo traveller,6,June 2024,2024,June,8.0,Very good,"Location, size of room, bathroom, room service being a thing",Occasional power outages
Argentina,Double Room,Couple,1,May 2024,2024,May,8.0,Good breakfast,Room was clean. Breakfast is very good and complete. Personal is nice,"The building is old, as any in Portugal. I'm not complaining"
Canada,Single Room,Solo traveller,2,April 2024,2024,April,8.0,Porto roady,"Good value, easy access to public transit, decent breakie, pleasant checkin experience.",No review
Portugal,Double Room,Family,1,April 2024,2024,April,1.0,Bad,No staff and AC doesn't work,No review
Portugal,Single Room,Solo traveller,3,January 2024,2024,January,2.0,Only in emergency and if there's nothing else available.,No review,"Only two AC outlets on the room, mould stains on the walls, the AC is working fixed and remote could not be found. Not a single carpet on the room, even a small one, and the floor is ceramic...it's January. Walls are so thin that I can listen to the person on the room next door talking on the phone. Not to mention that the doorbell is listenable from the rooms, so you have to be in a very deep sleep if you want to avoid waking up late at night."
United Kingdom,Single Room,Solo traveller,3,November 2023,2023,November,1.0,Night shift recepcionist on the 19th of November 23 should be sacked.,Location,For the second time the reception people locks the doors during the night and they off to sleep. I needed to set of to airport and the door was locked and the receponist nowhere to be seen.... was shouting and ringing the bell for 20 mins to the point of trying to break the door open....after been shouting really loud this individual comes and the arrogant not even apologised instead telling i shoud have ring the bell.
Netherlands,Twin Room,Family,10,August 2023,2023,August,8.0,Very good,"Delicious breakfast included in the price. Always fresh bread.  The service at the reception was very nice, although apart from the young lady working in the afternoon, no one else knew English, but we were still able to communicate. They should give her a raise. Great working air conditioning.",The condition of the room I stayed in. Renovations need to be done.
Portugal,Double Room,Couple,3,August 2023,2023,August,4.0,Disappointing,Nothing,There was no air conditioning remote in the room  No housekeeping.  No good breakfast provided
United Kingdom,Twin Room,Group,10,July 2023,2023,July,1.0,Terrible wouldn't recommend,Nothing,Everything about the hotel
Ireland,Double Room,Family,3,August 2023,2023,August,1.0,Avoid !,Close to the metro,"After the first night we discovered bed bugs on our bed !!!! moved to a different room, but the new room was so noisy that I could hear everything, noise from other guests, people walking up and down the stairs , buzzing the front door bell. I could not sleep and left at 2am on our 3rd night. It was cheap, and I would not mind the room being scabby and run down but the combination of bed bugs , noise and scabby room was horrific!"
Australia,Double Room,Couple,1,July 2023,2023,July,4.0,Crap,Nothing,"Tree rubble pillows, staff were not helpful they didn't reply to my messages. Air conditioning wasn't working. Black mould on surfaces in bathroom.  Booked a balcony room snd didn't get a balcony."
Kosovo,Single Room,Solo traveller,6,July 2023,2023,July,2.0,"Was a black boy, who was very unpolite. I wait 20 min until he found my key for my room. He was very very unpolite. They",Location,Evrything old.
Germany,Twin Room,Solo traveller,4,June 2023,2023,June,9.0,Superb,"Very friendly staff, close to metro station and to feup campus.",No review
Portugal,Single Room,Solo traveller,2,June 2023,2023,June,9.0,Excellent staff. Good breakfast. Mold in the rooms,What I liked the most was the staff and the breakfast was decently good.,"The mold in my room / bathroom. If you are going to raise the price because of a music festival happening in the city, could you at least clean the toxic mold for that weekend?"
Bosnia and Herzegovina,Double Room,Couple,5,June 2023,2023,June,10.0,Exceptional,"Lobby, balcony",No review
Portugal,Single Room,Solo traveller,1,June 2023,2023,June,3.0,no repeat,No review,the noise from a machine and the room floor was hot in some areas
Germany,Single Room,Solo traveller,3,May 2023,2023,May,8.0,Very good,"For a 2 star hotel, it's actually quite good.",2nd floor rooms are generally better than the 1st floor.
United Kingdom,Twin Room,Family,3,May 2023,2023,May,3.0,Poor,The room was very old and dusty. Also we had bugs found everywhere. Very old building for the price charged per night. Breakfast didn't had so much choice and milk was cold.,No review
United Kingdom,Double Room,Family,2,May 2023,2023,May,4.0,customer service was good but I wouldn't stay here again as they said this hotel is near the city centre but it's no whe,Nothing,the room and bathroom was small. they lied about the room. they said the room would have a private balcony with a smart TV. the room didn't have a smart tv but instead there was an old outdated TV with no balcony.
Slovakia,Twin Room,Group,5,April 2023,2023,April,2.0,"Cheap hotel, near to hospital, in noisy environment with uncomfortable beds.","They try do the best, for that price, but its not working Breakfast was not so bad - but you should have been late... Receptionist was kind - but she couldn't speak english","I did not expect so much for that price, but it was worse. I expected that beds will be not so comfortable, and it was not, I expected that breakfast will be not so good - its wasn't so bad actually, but I expected that basic service what hotel should provide will be observed - it supposed to be place for resting. The walls were so thin I could hear literally everything, I could hear every ring of receptionist phone (and i was located at second floor), on the rooftop there is some kind of fan - you always can hear it, when you open room window there is another roof under you and there is another several fan - you feel like you are at some factory not at the hotel. I would never recommend this place to anyone - even not to my enemy..."
United Kingdom,Single Room,Solo traveller,1,April 2023,2023,April,1.0,Noisy.,The staff were nice.,The fans on the roof outside the windows were so loud that I didn't get any sleep. The walls are paper thin and I don't think it's been decorated for at least 10 years.
Croatia,Twin Room,Group,3,April 2023,2023,April,3.0,Poor,We liked the breakfast.,"Had to return a pillow cause it was full of hair. One of the beds was covered in hair, towels in hair, hair everywhere. Only one bed has a socket next to it."
Portugal,Single Room,Solo traveller,3,March 2023,2023,March,4.0,Bad experience this time,Location is ok.,"Second night reception door closed, phoned few times no answer, rang the door bell no answer knocked at the door and eventually after 20 minutos standing outside in the cold the receponist were clearly still sleeping when come to open the door. 3 days and no towels were changed even when asked. Couldnt sleep propelly in the morning to extreme noise from the cleaners. And the bath tub does not drain the water propelly, while having a shower... even the bath tub curtain was so big that would get under your feet making the whole experience of having a shower a not confortable thing. Clearly the owner of that hotel is not doing his best to keep the hotel a good experience and to keep the guests."
Portugal,Double Room,Couple,2,March 2023,2023,March,2.0,Noisy,Plenty of hot water and the room was clean. Location is ok and parking was easy.,"The constant loud noise (it sounded like there was an engine room above the room) which meant that we slept very badly , leaving more tired then when we arrived. So anything positive about the hotel is wiped out by this situation."
Poland,Double Room,Family,3,January 2023,2023,January,1.0,Horrible.,No review,It stinks. Loud all night. Cold. Sheets with plastic foil underneath. Only one electrical outlet. We escaped as soon as possible.
Finland,Single Room,Group,4,November 2022,2022,November,3.0,Poor,Free WiFi was really fast. Customer service was nice. Air conditioner was nice to have.,Customer service did not always understand basic English. The rooms were in bad condition.
Ireland,Single Room,Solo traveller,1,November 2022,2022,November,10.0,Exceptional,Plenty hot water. Helpful friendly staff,No review
Portugal,Single Room,Solo traveller,1,September 2022,2022,September,2.0,Very poor,noisy and disheveled,No review
United Kingdom,Single Room,Solo traveller,2,August 2022,2022,August,9.0,"Nicely fitted room, good breakfast, quiet area but not central.","Very nice building and well-appointed rooms, good breakfast in pleasant bright room. Mostly helpful staff. Quiet location with a couple of restaurants nearby.",It's quite far from the centre but that's why it's quiet so no complaint. The only real problem I had was on the second day I realised that the walls must be quite thin because I could clearly hear phone conversations in the next room. Everyone talks louder on the phone but this person was not shouting and went on talking for a long time.
Ireland,Single Room,Solo traveller,4,August 2022,2022,August,8.0,Very good,I liked staff and breakfast,There was not ice water and I was so warm in my stay.
Australia,Single Room,Solo traveller,1,August 2022,2022,August,8.0,Not bad,The staff and the bath,Not enough fruit or any yogurt. Noise at night ?
Denmark,Twin Room,Couple,6,July 2022,2022,July,9.0,A comfortable stay,"I loved super friendly staff (Ingrid, Elvis, and others) who kindly shared tips on what to see and do in Porto. Overall, the atmosphere is cosy and relaxed. The breakfast is really budget-friendly and tastes good. The room was simple, clean, and with AC. The hotel is close to the metro station, which helps to commute around the city easily. Also, there are supermarkets and laundry nearby. Would recommend this place for people wanting to stay away from overcrowded touristy locations.",No review
United Kingdom,Double Room,Couple,3,July 2022,2022,July,9.0,"Great room with good connection to the city, WiFi and friendly staff","It was a very functional room with friendly staff a d convenient parking. The bed was comfortable, good wifi",The pillows were uncomfortable
Germany,Single Room,Solo traveller,4,June 2022,2022,June,8.0,it was nice,the guys working there are very sympathetic,"there is no lift, but the building has only 2 floors"
Canada,Single Room,Couple,2,June 2022,2022,June,9.0,A Gem in Porto,"Good breakfast, cozy room, good AC, nice balcony","Looks a bit far, last stop on Yellow Metro. But reach Ribeira in 10 minutes or so. Hotels there are too expensive for no extra value."
